Date,Close,Open,High,Low,Vol.,Change %
"Jun 05, 2013",190.88,190.88,190.88,190.88,-,-0.07%
"Jun 06, 2013",188.22,191.47,191.47,188.22,-,-1.39%
"Jun 07, 2013",188.06,188.12,188.12,188.06,-,-0.09%
"Jun 10, 2013",187.02,189.26,189.26,185.91,-,-0.55%
"Jun 11, 2013",186.86,186.83,188.35,186.83,-,-0.09%
"Jun 12, 2013",187.91,188.09,191.72,187.58,-,0.56%
"Jun 13, 2013",193.8,187.89,193.8,187.89,-,3.13%
"Jun 14, 2013",192.09,194.52,196.45,191.82,-,-0.88%
"Jun 17, 2013",195.08,194.93,195.18,194.93,-,1.56%
"Jun 18, 2013",196.07,192.56,196.07,192.56,-,0.51%
"Jun 19, 2013",196.57,196.95,196.95,196.57,-,0.26%
"Jun 20, 2013",197.75,196.99,197.75,196.99,-,0.60%
"Jun 21, 2013",197.9,197.75,197.9,197.75,-,0.08%
"Jun 24, 2013",193.58,197.05,197.37,193.58,-,-2.18%
"Jun 25, 2013",193.67,193.63,193.67,193.63,-,0.05%
"Jun 26, 2013",193.91,193.67,193.91,193.67,-,0.12%
"Jun 27, 2013",196.33,193.59,196.33,193.59,-,1.25%
"Jun 28, 2013",193.79,196.33,196.33,193.79,-,-1.29%
"Jul 01, 2013",194.22,193.79,194.22,193.63,-,0.22%
"Jul 02, 2013",193.96,194.05,194.09,193.96,-,-0.13%
"Jul 03, 2013",194.53,194.25,194.55,194.25,-,0.29%
"Jul 04, 2013",195.1,194.32,195.11,194.32,-,0.29%
"Jul 08, 2013",195.49,197.53,197.9,195.49,-,0.20%
"Jul 09, 2013",195.49,195.49,195.49,195.49,-,0.00%
"Jul 10, 2013",195.54,195.5,195.54,195.5,-,0.03%
"Jul 11, 2013",195.74,195.49,195.74,195.49,-,0.10%
"Jul 12, 2013",195.08,195.66,195.66,195.08,-,-0.34%
"Jul 15, 2013",197.87,195.08,197.87,195.08,-,1.43%
"Jul 16, 2013",197.36,197.36,197.36,197.36,-,-0.26%
"Jul 17, 2013",198.2,197.36,198.2,197.36,-,0.43%
"Jul 18, 2013",195.3,198.17,198.24,195.3,-,-1.46%
"Jul 19, 2013",196.13,195.3,196.13,195.3,-,0.42%
"Jul 22, 2013",195.33,195.17,195.33,195.17,-,-0.41%
"Jul 23, 2013",195.31,195.33,195.33,195.3,-,-0.01%
"Jul 24, 2013",196.02,195.97,196.16,195.97,-,0.36%
"Jul 25, 2013",196,196.02,196.02,196,-,-0.01%
"Jul 26, 2013",196.85,196.68,196.85,196.68,-,0.43%
"Jul 29, 2013",197.4,196.91,197.4,196.8,-,0.28%
"Jul 30, 2013",197.52,197.99,197.99,197.52,-,0.06%
"Jul 31, 2013",197.97,197.53,197.97,197.36,-,0.23%
"Aug 01, 2013",197.97,197.97,198.24,197.97,-,0.00%
"Aug 02, 2013",197.53,197.49,197.53,197.49,-,-0.22%
"Aug 05, 2013",197.49,197.53,197.64,197.49,-,-0.02%
"Aug 06, 2013",197.75,197.79,197.79,197.68,-,0.13%
"Aug 07, 2013",197.38,197.41,197.41,197.34,-,-0.19%
"Aug 08, 2013",199.18,197.44,199.18,197.44,-,0.91%
"Aug 09, 2013",199.21,199.19,199.83,199.19,-,0.02%
"Aug 12, 2013",199.4,198.14,199.4,198.14,-,0.10%
"Aug 13, 2013",200.14,199.43,200.14,199.43,-,0.37%
"Aug 14, 2013",199.87,199.96,200.08,199.87,-,-0.13%
"Aug 15, 2013",199.75,199.76,199.76,199.75,-,-0.06%
"Aug 16, 2013",201.63,199.75,201.63,199.75,-,0.94%
"Aug 19, 2013",201.05,200.93,201.05,200.88,-,-0.29%
"Aug 20, 2013",200.13,199.42,200.17,199.42,-,-0.46%
"Aug 21, 2013",199.5,200.05,200.05,199.5,-,-0.31%
"Aug 22, 2013",200.39,200.39,201.09,200.39,-,0.45%
"Aug 23, 2013",196.49,195.8,196.49,195.8,-,-1.95%
"Aug 26, 2013",196.91,196.49,196.91,195.82,-,0.21%
"Aug 27, 2013",200.53,196.91,200.53,196.91,-,1.84%
"Aug 28, 2013",201.89,201.18,201.89,201.18,-,0.68%
"Aug 30, 2013",202.39,201.18,202.39,200.8,-,0.25%
"Sep 02, 2013",201.2,201.9,201.9,200.48,-,-0.59%
"Sep 03, 2013",199.37,201.35,201.35,199.36,-,-0.91%
"Sep 04, 2013",199.94,199.37,201.12,199.37,-,0.29%
"Sep 05, 2013",200.24,199.96,201.77,199.92,-,0.15%
"Sep 06, 2013",194.04,194.04,194.04,193.75,-,-3.10%
"Sep 09, 2013",194.72,194.11,194.72,194.11,-,0.35%
"Sep 10, 2013",194.48,194.04,195.25,193.89,-,-0.12%
"Sep 11, 2013",193.84,193.93,195.07,193.81,-,-0.33%
"Sep 12, 2013",194.9,194.78,194.9,194.78,-,0.55%
"Sep 13, 2013",198.3,195.45,198.3,195.43,-,1.74%
"Sep 16, 2013",196.31,197.97,198.3,193.9,-,-1.00%
"Sep 17, 2013",193.58,195.22,195.22,193.58,-,-1.39%
"Sep 18, 2013",193.99,193.92,193.99,193.92,-,0.21%
"Sep 19, 2013",193.99,194.67,194.67,193.5,-,0.00%
"Sep 20, 2013",195.52,194.02,195.52,192.86,-,0.79%
"Sep 23, 2013",195.42,194.58,195.55,194.58,-,-0.05%
"Sep 24, 2013",194.48,193.46,194.48,192.67,-,-0.48%
