Date,Close,Open,High,Low,Vol.,Change %
"Apr 01, 2010",2552.5,2510.84,2552.5,2510.07,33.92M,2.28%
"Mar 31, 2010",2495.6,2494.3,2517.24,2490.43,59.78M,-0.42%
"Mar 30, 2010",2506.24,2505.98,2513.59,2491.61,36.37M,0.84%
"Mar 29, 2010",2485.35,2502.2,2523.27,2480.59,30.18M,-0.41%
"Mar 26, 2010",2495.65,2497.86,2513.56,2483.59,62.85M,0.02%
"Mar 25, 2010",2495.13,2462.58,2510.29,2458.33,68.08M,2.04%
"Mar 24, 2010",2445.32,2471.27,2482.17,2434.41,36.55M,-0.44%
"Mar 23, 2010",2456.24,2450.72,2469.22,2446.19,119.54M,0.77%
"Mar 22, 2010",2437.59,2446.1,2449.64,2411.91,34.04M,-0.16%
"Mar 19, 2010",2441.39,2446.12,2488.5,2414.21,244.71M,-0.16%
"Mar 18, 2010",2445.4,2459.62,2471.93,2437.24,52.28M,-0.83%
"Mar 17, 2010",2465.98,2471.03,2496.88,2452.31,122.14M,0.84%
"Mar 16, 2010",2445.34,2401.43,2445.34,2399.65,100.37M,2.20%
"Mar 15, 2010",2392.78,2416.21,2416.97,2385.36,67.39M,-0.95%
"Mar 12, 2010",2415.82,2415.27,2445.13,2408.82,102.26M,0.53%
"Mar 11, 2010",2403.05,2408.98,2419.09,2399.42,51.22M,-0.38%
"Mar 10, 2010",2412.18,2391.37,2425.09,2383.5,97.04M,0.76%
"Mar 09, 2010",2393.88,2400.17,2400.48,2374.53,20.57M,-0.53%
"Mar 08, 2010",2406.55,2402.38,2406.55,2381.49,26.66M,0.72%
"Mar 05, 2010",2389.37,2366.51,2395.44,2358.33,65.97M,1.18%
"Mar 04, 2010",2361.62,2346.02,2376.85,2336.73,135.46M,0.17%
"Mar 03, 2010",2357.54,2356.08,2365.32,2334.53,67.51M,0.42%
"Mar 02, 2010",2347.58,2289.88,2354.14,2273.82,44.23M,2.57%
"Mar 01, 2010",2288.85,2280.01,2288.85,2261.52,20.59M,1.05%
"Feb 26, 2010",2265.01,2216.08,2265.01,2205.81,72.90M,3.03%
"Feb 25, 2010",2198.36,2235.96,2248.14,2185.14,56.92M,-1.55%
"Feb 24, 2010",2233.08,2233.18,2243.09,2218.63,17.98M,-0.32%
"Feb 23, 2010",2240.28,2273.75,2277.98,2235.98,54.59M,-1.19%
"Feb 22, 2010",2267.3,2282.03,2284.74,2254.16,15.70M,0.79%
"Feb 19, 2010",2249.48,2226.99,2271,2223.97,30.13M,-0.06%
"Feb 18, 2010",2250.77,2271.4,2273.86,2244.88,40.24M,-1.37%
"Feb 17, 2010",2281.92,2288.94,2290.06,2270.81,61.43M,1.89%
"Feb 16, 2010",2239.53,2277.15,2279.99,2226.97,57.08M,-0.87%
"Feb 15, 2010",2259.19,2230.44,2259.19,2218.2,22.19M,1.92%
"Feb 12, 2010",2216.71,2203.96,2225.14,2191.47,68.95M,2.00%
"Feb 11, 2010",2173.25,2238.28,2238.34,2172.88,185.83M,-1.89%
"Feb 10, 2010",2215.15,2218.76,2245.89,2212.83,70.21M,0.45%
"Feb 09, 2010",2205.27,2216.13,2231.24,2205.27,29.72M,0.73%
"Feb 08, 2010",2189.35,2220.85,2233.74,2165.2,33.92M,-0.29%
"Feb 05, 2010",2195.65,2257.82,2257.82,2195.65,58.83M,-3.95%
"Feb 04, 2010",2285.94,2372.43,2380.29,2285.94,35.41M,-4.11%
"Feb 03, 2010",2383.95,2397.45,2402.24,2375.45,19.64M,0.40%
"Feb 02, 2010",2374.35,2385.43,2386.88,2363.64,25.01M,0.47%
"Feb 01, 2010",2363.18,2364.11,2380.83,2356.89,11.77M,-0.82%
"Jan 29, 2010",2382.64,2360.59,2382.64,2348.62,21.12M,0.83%
"Jan 28, 2010",2362.93,2398.41,2405.95,2362.1,31.02M,-0.44%
"Jan 27, 2010",2373.41,2385.21,2396.66,2371.9,28.14M,-0.64%
"Jan 26, 2010",2388.64,2388.1,2393.22,2367.04,23.94M,-1.21%
"Jan 25, 2010",2417.87,2409.93,2425.93,2404.3,24.35M,0.42%
"Jan 22, 2010",2407.78,2436.77,2441.4,2399.73,76.02M,-2.54%
