Date,Close,Open,High,Low,Vol.,Change %
"Feb 24, 2016",855.43,879.15,879.55,854.87,-,-2.70%
"Feb 23, 2016",879.15,886.64,887.06,876.93,-,-0.84%
"Feb 22, 2016",886.64,872.01,887.39,871.56,-,1.77%
"Feb 19, 2016",871.22,876.86,877.51,865.77,-,-0.83%
"Feb 18, 2016",878.51,875.38,887.18,873.84,-,0.11%
"Feb 17, 2016",877.55,861.89,880.37,861.89,-,1.88%
"Feb 16, 2016",861.37,877.5,879.39,861.37,-,-1.65%
"Feb 15, 2016",875.81,848.96,876.17,848.55,-,3.53%
"Feb 12, 2016",845.92,844.95,857.35,840.06,-,-0.15%
"Feb 11, 2016",847.23,860.62,861.1,837.25,-,-1.91%
"Feb 10, 2016",863.74,854.96,872.09,854.57,-,1.26%
"Feb 09, 2016",852.97,873.28,877.81,845.86,-,-2.24%
"Feb 08, 2016",872.53,903.33,905.11,871.61,-,-3.57%
"Feb 05, 2016",904.79,895.61,906.48,894.95,-,0.81%
"Feb 04, 2016",897.48,888.82,902.44,888.59,-,1.21%
"Feb 03, 2016",886.72,902.01,903.18,886.33,-,-1.72%
"Feb 02, 2016",902.2,914.04,916.77,902.2,-,-1.37%
"Feb 01, 2016",914.71,921.07,926.33,911.65,-,-0.69%
"Jan 29, 2016",921.07,908.98,922.87,908.98,-,1.28%
"Jan 28, 2016",909.43,902.56,912.72,901.21,-,0.76%
"Jan 27, 2016",902.56,892.83,902.92,892.83,-,1.09%
"Jan 26, 2016",892.81,883.55,894.57,877.46,-,1.01%
"Jan 25, 2016",883.85,887.53,895.97,882.65,-,-0.33%
"Jan 22, 2016",886.77,860.39,886.77,860.39,-,3.13%
"Jan 21, 2016",859.87,855.61,862.74,853.74,-,0.46%
"Jan 20, 2016",855.92,874,874,853.06,-,-2.07%
"Jan 19, 2016",873.98,867.8,883.71,867.8,-,0.71%
"Jan 18, 2016",867.85,881.17,888.59,867.75,-,-1.51%
"Jan 15, 2016",881.12,899.63,905.16,880.23,-,-1.95%
"Jan 14, 2016",898.62,912.41,913.61,895.53,-,-1.76%
"Jan 13, 2016",914.73,920.31,924.6,914.73,-,-0.53%
"Jan 12, 2016",919.62,917.68,923.78,913.97,-,0.11%
"Jan 11, 2016",918.64,924,926.79,915.13,-,-0.58%
"Jan 08, 2016",924.04,916.9,932.24,916.9,-,0.87%
"Jan 07, 2016",916.09,932.15,932.15,914.28,-,-2.14%
"Jan 06, 2016",936.17,941,944.96,935.64,-,-0.52%
"Jan 05, 2016",941.07,939.03,946.07,934.43,-,0.30%
"Jan 04, 2016",938.23,954.17,954.17,936.65,-,-1.89%
"Dec 30, 2015",956.33,955.54,958.95,952.52,-,0.06%
"Dec 29, 2015",955.74,950.1,955.74,948.67,-,0.58%
"Dec 28, 2015",950.21,944.74,953.58,944.74,-,0.50%
"Dec 23, 2015",945.49,930.06,945.8,929.9,-,1.68%
"Dec 22, 2015",929.83,929.35,931.8,926.86,-,0.15%
"Dec 21, 2015",928.41,926.71,930.66,924.47,-,0.18%
"Dec 18, 2015",926.71,931.64,933.17,921.54,-,-0.55%
"Dec 17, 2015",931.85,930.28,940.56,930.28,-,0.18%
"Dec 16, 2015",930.13,929.07,935.98,925.87,-,0.12%
"Dec 15, 2015",928.99,921.09,930.26,915.52,-,1.01%
"Dec 14, 2015",919.73,923.23,931.89,919.05,-,-0.32%
"Dec 11, 2015",922.71,931.08,936.44,920.22,-,-0.94%
"Dec 10, 2015",931.45,931.43,933.37,925.57,-,0.00%
"Dec 09, 2015",931.41,930.39,937.26,929.32,-,0.08%
"Dec 08, 2015",930.67,945.99,946.24,930.67,-,-1.62%
"Dec 07, 2015",945.99,950.66,957.73,945.63,-,-0.47%
"Dec 04, 2015",950.48,951.27,956.09,944.33,-,-0.08%
"Dec 03, 2015",951.27,959.39,960.51,948.1,-,-0.85%
"Dec 02, 2015",959.39,969.25,972.21,955.9,-,-1.00%
"Dec 01, 2015",969.08,974.14,977.56,967.05,-,-0.55%
"Nov 30, 2015",974.4,977.6,977.78,965.94,-,-0.33%
"Nov 27, 2015",977.58,980.87,980.87,973.31,-,-0.41%
"Nov 26, 2015",981.57,975.72,981.72,971.78,-,0.60%
"Nov 25, 2015",975.72,983.1,984.91,972.87,-,-0.75%
"Nov 24, 2015",983.1,999.6,999.6,978.04,-,-1.65%
"Nov 23, 2015",999.59,993.68,999.59,990.48,-,0.58%
"Nov 20, 2015",993.86,992.15,997.19,989.53,-,0.17%
"Nov 19, 2015",992.18,991.96,996.72,991.39,-,0.01%
"Nov 18, 2015",992.13,978.69,992.96,978.69,-,1.37%
"Nov 16, 2015",978.69,981.84,985.12,977.34,-,-0.24%
"Nov 13, 2015",981.06,978.84,988.87,975.03,-,0.27%
"Nov 12, 2015",978.44,992.41,993.63,976.33,-,-1.43%
"Nov 11, 2015",992.6,996.84,1002.28,992.19,-,-0.43%
"Nov 10, 2015",996.84,991.28,997.79,986.23,-,0.60%
"Nov 09, 2015",990.93,988.15,994.24,987.28,-,0.26%
"Nov 06, 2015",988.32,975.66,994.02,973.73,-,1.30%
"Nov 05, 2015",975.63,980.5,982.37,975.02,-,-0.54%
"Nov 04, 2015",980.91,979.78,984.73,978.84,-,0.07%
"Nov 03, 2015",980.19,986.17,986.29,980.05,-,-0.65%
"Nov 02, 2015",986.6,983.13,986.96,980.55,-,0.35%
"Oct 30, 2015",983.14,979.25,985.35,978.68,-,0.37%
"Oct 29, 2015",979.47,980.24,985.82,978.2,-,-0.19%
"Oct 27, 2015",981.35,982.64,983.77,973.19,-,-0.13%
"Oct 26, 2015",982.64,986.39,986.84,978.94,-,-0.38%
"Oct 23, 2015",986.39,978,986.39,978,-,0.85%
"Oct 22, 2015",978.08,970.7,978.59,968.65,-,0.81%
"Oct 21, 2015",970.26,970.59,972.56,967.03,-,-0.03%
"Oct 20, 2015",970.59,970.81,970.81,961.03,-,-0.02%
"Oct 19, 2015",970.81,970.78,976.61,970.13,-,0.00%
"Oct 16, 2015",970.78,962,973.23,962,-,0.68%
"Oct 15, 2015",964.21,965.35,974.03,963.85,-,-0.19%
"Oct 14, 2015",966.06,973.35,975.36,964.85,-,-1.00%
"Oct 13, 2015",975.78,990,990.18,970.68,-,-1.36%
"Oct 12, 2015",989.25,981.04,993.91,981.04,-,0.82%
"Oct 09, 2015",981.18,971.47,984.42,970.05,-,1.09%
"Oct 08, 2015",970.61,977.32,977.93,968.23,-,-0.70%
"Oct 07, 2015",977.43,971.76,980.82,970.86,-,0.68%
"Oct 06, 2015",970.83,973.67,975.1,966.04,-,-0.21%
"Oct 05, 2015",972.92,964.23,974.19,963.93,-,0.90%
"Oct 02, 2015",964.24,967.84,973.64,961.2,-,-0.42%
"Oct 01, 2015",968.35,970.78,977.3,963.28,-,-0.28%
"Sep 30, 2015",971.1,959.25,972.07,959.25,-,1.22%
"Sep 29, 2015",959.37,957.71,962.46,945.08,-,-0.31%
"Sep 25, 2015",962.35,952.72,964.54,952.55,-,1.17%
"Sep 24, 2015",951.22,961.11,964.78,951.22,-,-0.98%
"Sep 23, 2015",960.65,967.77,970.78,960.65,-,-0.74%
"Sep 22, 2015",967.78,983.57,986.75,966.3,-,-1.61%
"Sep 21, 2015",983.6,984.55,989.42,979.16,-,0.02%
"Sep 18, 2015",983.45,1009.49,1011.51,983.45,-,-2.58%
"Sep 17, 2015",1009.49,1002.3,1010.94,999.24,-,0.72%
"Sep 16, 2015",1002.3,1001.3,1007,998.23,-,0.10%
"Sep 15, 2015",1001.3,1000.92,1001.3,994.35,-,0.04%
"Sep 14, 2015",1000.9,1001.21,1003.25,994.5,-,-0.03%
"Sep 11, 2015",1001.18,1003.79,1004,996.3,-,-0.15%
"Sep 10, 2015",1002.71,1008.26,1008.26,994.96,-,-0.58%
"Sep 09, 2015",1008.59,1001.19,1013.19,1001.19,-,0.79%
"Sep 08, 2015",1000.66,991.62,1001.93,991.62,-,0.91%
"Sep 07, 2015",991.62,999.78,1005.93,991.19,-,-0.81%
"Sep 04, 2015",999.72,1011.14,1011.14,998.69,-,-1.15%
"Sep 03, 2015",1011.39,1001.86,1013.96,1001.57,-,0.95%
"Sep 02, 2015",1001.86,997.03,1006.82,996.88,-,0.48%
"Sep 01, 2015",997.03,1024.34,1024.34,996.3,-,-2.64%
"Aug 31, 2015",1024.05,1012.59,1024.05,1009.44,-,1.13%
"Aug 28, 2015",1012.59,1007.91,1016.93,1007.91,-,0.46%
"Aug 27, 2015",1007.91,985.02,1008.68,985.02,-,2.34%
"Aug 26, 2015",984.85,989.62,993.72,978.4,-,-0.48%
"Aug 25, 2015",989.62,946.52,993.97,946.02,-,4.57%
"Aug 24, 2015",946.34,990.01,990.01,935.6,-,-4.60%
"Aug 21, 2015",992.02,998.15,1001.35,988.25,-,-0.98%
"Aug 20, 2015",1001.82,1020.35,1020.84,1001.21,-,-1.80%
"Aug 19, 2015",1020.17,1021.38,1022.79,1016.79,-,-0.10%
"Aug 18, 2015",1021.21,1023.28,1024.43,1017.88,-,-0.15%
"Aug 17, 2015",1022.79,1025.25,1031.6,1022.23,-,-0.23%
"Aug 14, 2015",1025.17,1027.7,1032.24,1023.29,-,-0.23%
"Aug 13, 2015",1027.53,1024.72,1035.2,1024.72,-,0.49%
"Aug 12, 2015",1022.48,1037.25,1037.25,1021.68,-,-1.44%
"Aug 11, 2015",1037.4,1038.01,1042.64,1035.1,-,-0.04%
"Aug 10, 2015",1037.82,1032.96,1038.91,1032.54,-,0.44%
"Aug 07, 2015",1033.3,1034.73,1038.68,1031.4,-,-0.14%
"Aug 06, 2015",1034.7,1034.99,1040.92,1034.2,-,-0.03%
"Aug 05, 2015",1035.06,1037.18,1041.93,1034.1,-,-0.16%
"Aug 04, 2015",1036.75,1038.4,1041.08,1034.34,-,-0.41%
"Aug 03, 2015",1040.97,1031.47,1041.89,1029.82,-,0.92%
"Jul 31, 2015",1031.47,1026.5,1032.77,1025.85,-,0.08%
"Jul 30, 2015",1030.69,1026.55,1035.76,1023.28,-,0.40%
"Jul 29, 2015",1026.55,1028.48,1034.98,1026.43,-,-0.19%
"Jul 28, 2015",1028.47,1025.27,1035.07,1023.48,-,0.25%
"Jul 27, 2015",1025.94,1030.83,1030.83,1021.02,-,-0.47%
"Jul 24, 2015",1030.83,1029.88,1031.72,1021.48,-,0.09%
"Jul 23, 2015",1029.93,1036.29,1039.3,1027.98,-,-0.63%
"Jul 22, 2015",1036.43,1037.81,1042.99,1033.72,-,-0.10%
"Jul 21, 2015",1037.51,1030.33,1037.55,1029.89,-,0.71%
"Jul 20, 2015",1030.18,1024.93,1033.09,1022.7,-,0.51%
"Jul 17, 2015",1024.94,1026.86,1030.93,1021.57,-,-0.21%
"Jul 16, 2015",1027.14,1010.74,1027.14,1010.74,-,1.59%
"Jul 15, 2015",1011.1,1003.76,1011.28,1003.76,-,0.77%
"Jul 14, 2015",1003.39,1001.42,1004.94,998.53,-,0.20%
"Jul 13, 2015",1001.42,991.54,1003.88,991.54,-,1.00%
"Jul 10, 2015",991.54,981.38,996.1,981.38,-,1.04%
"Jul 09, 2015",981.38,966.81,981.68,965.92,-,1.49%
"Jul 08, 2015",966.93,968.91,971.12,959.58,-,-0.22%
"Jul 07, 2015",969.06,977.43,977.85,968.91,-,-1.33%
"Jul 03, 2015",982.14,988.62,989.86,979.74,-,-0.63%
"Jul 02, 2015",988.33,986.61,993.68,986.05,-,0.17%
"Jul 01, 2015",986.61,981.44,991.75,981.05,-,0.52%
"Jun 30, 2015",981.47,972.83,981.47,963.12,-,0.92%
"Jun 29, 2015",972.5,995.19,995.19,955.49,-,-2.30%
"Jun 26, 2015",995.38,983.5,995.38,973.34,-,1.25%
"Jun 25, 2015",983.06,982.45,990.13,977.75,-,0.06%
"Jun 24, 2015",982.45,996.26,998.94,981.64,-,-1.34%
"Jun 23, 2015",995.84,989.33,999.83,989.33,-,0.66%
"Jun 22, 2015",989.33,977.28,996.78,977.08,-,1.42%
"Jun 19, 2015",975.5,968.06,977.91,967.91,-,0.84%
"Jun 18, 2015",967.38,975.88,976.09,961.63,-,-1.10%
"Jun 17, 2015",978.16,990.51,991.96,973.09,-,-1.22%
"Jun 16, 2015",990.24,979.1,990.24,969.72,-,1.12%
