Date,Close,Open,High,Low,Vol.,Change %
"Apr 28, 2014",17540.66,17571.41,17650.54,17474.57,-,-0.18%
"Apr 25, 2014",17571.41,17597.62,17597.62,17431.16,-,-0.01%
"Apr 24, 2014",17573.5,17789.28,17914.71,17573.5,-,-1.13%
"Apr 23, 2014",17774.54,17887.24,17981.01,17774.54,-,-0.62%
"Apr 22, 2014",17884.56,17702.87,17886.45,17673.86,-,1.03%
"Apr 17, 2014",17702.77,17407.87,17702.77,17407.87,-,1.69%
"Apr 16, 2014",17407.97,17348.77,17593.4,17312.78,-,0.36%
"Apr 15, 2014",17345.6,17797.71,17839.41,17345.6,-,-2.54%
"Apr 14, 2014",17797.71,17965.15,17969.07,17697.76,-,-0.93%
"Apr 11, 2014",17965.25,18125.99,18125.99,17839.46,-,-0.89%
"Apr 10, 2014",18126.26,18150.21,18257.45,18046.73,-,-0.13%
"Apr 09, 2014",18150.21,18052.04,18216.3,18005.26,-,0.54%
"Apr 08, 2014",18052.25,18108.26,18149.54,17871.65,-,-0.32%
"Apr 07, 2014",18109.58,17939.13,18109.58,17774.29,-,0.66%
"Apr 04, 2014",17990.04,18159.87,18195.34,17858.92,-,-0.98%
"Apr 03, 2014",18167.9,18021.11,18203.3,18021.11,-,0.81%
"Apr 02, 2014",18021.11,17653.86,18021.11,17607.46,-,2.14%
"Apr 01, 2014",17643.29,17512.37,17644.38,17427.32,-,0.65%
"Mar 31, 2014",17529.99,17432.56,17602.46,17305.9,-,0.80%
"Mar 28, 2014",17390.31,17012.5,17505.8,17007.49,-,2.32%
"Mar 27, 2014",16996.66,16963.31,17171.08,16863.77,-,0.20%
"Mar 26, 2014",16963.31,16829.32,17074.12,16829.32,-,0.81%
"Mar 25, 2014",16827.74,16824.18,17002.98,16798.73,-,0.01%
"Mar 24, 2014",16825.5,16762.9,16957.02,16676.55,-,0.39%
"Mar 21, 2014",16759.99,16954.64,17275.11,16759.99,-,-1.15%
"Mar 20, 2014",16954.64,17048.18,17119.42,16854.85,-,-0.57%
"Mar 19, 2014",17052.51,16963.9,17109.85,16876.74,-,0.53%
"Mar 18, 2014",16961.88,16794.66,17167.59,16730,-,1.02%
"Mar 17, 2014",16791.2,16157.76,16846.54,16157.76,-,3.92%
"Mar 14, 2014",16157.59,16140.53,16182.33,15981.97,-,0.11%
"Mar 13, 2014",16140.53,16342.63,16534.57,16085.08,-,-1.24%
"Mar 12, 2014",16343.13,16616.65,16672.15,16228.95,-,-1.65%
"Mar 11, 2014",16617.65,16796.88,16932.43,16511.28,-,-1.07%
"Mar 10, 2014",16796.88,17124.82,17149.51,16796.88,-,-1.95%
"Mar 07, 2014",17130.56,17394.59,17430.11,17128.5,-,-1.52%
"Mar 06, 2014",17394.25,17472.67,17661.37,17270.41,-,-0.44%
"Mar 05, 2014",17471.84,17748.25,17748.62,17471.84,-,-1.59%
"Mar 04, 2014",17753.99,17132.39,17753.99,17132.39,-,3.73%
"Mar 03, 2014",17115.16,17740.49,17740.61,16852.81,-,-3.55%
"Feb 28, 2014",17744.92,17382.16,17744.92,17382.16,-,2.12%
"Feb 27, 2014",17376.42,17794.88,17807.8,17256.97,-,-2.35%
"Feb 26, 2014",17794.88,17752.95,17812.6,17564,-,0.23%
"Feb 25, 2014",17753.69,18223.33,18278.84,17736.88,-,-2.57%
"Feb 24, 2014",18221.94,18069.2,18272.52,18057.72,-,0.61%
"Feb 21, 2014",18110.98,18114.63,18196.98,18013.14,-,0.08%
"Feb 20, 2014",18096.53,18257.26,18274.48,17989.39,-,-0.96%
"Feb 19, 2014",18272.57,18285.65,18367.85,18172.05,-,-0.30%
"Feb 18, 2014",18327.43,18299.74,18411.27,18256.29,-,0.15%
"Feb 17, 2014",18299.74,18288.38,18333.94,18219.24,-,0.28%
"Feb 14, 2014",18249.39,18039.57,18279.26,18009.67,-,1.23%
"Feb 13, 2014",18028.42,18094.23,18094.23,17911.83,-,-0.19%
"Feb 12, 2014",18062.2,18307.19,18382.7,18020.9,-,-1.29%
"Feb 11, 2014",18297.44,18115.28,18297.44,18083.81,-,1.01%
"Feb 10, 2014",18115.28,18119.99,18196.02,18055.77,-,0.05%
"Feb 07, 2014",18106.07,18104.3,18242.86,18017.24,-,0.10%
"Feb 06, 2014",18087.59,18364.39,18391.81,18049.5,-,-1.37%
"Feb 05, 2014",18339.32,18538.49,18610.93,18339.32,-,-0.93%
"Feb 04, 2014",18510.64,18524.62,18605.89,18418.52,-,-0.23%
"Feb 03, 2014",18552.47,18947.09,18954.14,18536.42,-,-2.14%
"Jan 31, 2014",18958.24,18626.42,18958.24,18532.33,-,1.83%
"Jan 30, 2014",18616.68,18546.8,18732.67,18512.98,-,0.38%
"Jan 29, 2014",18546.8,18763.1,19043.42,18454.66,-,-0.86%
"Jan 28, 2014",18707.4,18855.43,18955.56,18660.95,-,-0.49%
"Jan 27, 2014",18799.73,19074.72,19074.72,18734.62,-,-1.45%
"Jan 24, 2014",19075.39,19562.71,19626.19,19075.39,-,-2.40%
"Jan 23, 2014",19544.61,19575.57,19702.84,19516.12,-,-0.26%
"Jan 22, 2014",19596.46,19476.31,19596.65,19377.86,-,0.74%
"Jan 21, 2014",19453.02,19225.49,19487.77,19196.8,-,0.99%
"Jan 20, 2014",19262.54,19254.98,19262.54,19097.83,-,0.04%
"Jan 17, 2014",19255.65,19469.33,19556,19228.27,-,-1.05%
"Jan 16, 2014",19459.58,19403.51,19526.29,19332.86,-,0.19%
"Jan 15, 2014",19423.02,19430.29,19568.47,19309,-,-0.04%
"Jan 14, 2014",19430.29,19357.7,19466.92,19161.74,-,0.05%
"Jan 13, 2014",19420.16,19081.6,19425.9,19046.57,-,1.67%
"Jan 10, 2014",19101.72,18968.3,19101.72,18905.19,-,0.61%
"Jan 09, 2014",18986.3,18685.19,18986.3,18678.57,-,1.63%
"Jan 08, 2014",18681.5,18617.82,18756.1,18576.7,-,0.34%
"Jan 07, 2014",18618.66,18571.93,18704.82,18571.93,-,0.25%
"Jan 06, 2014",18572.77,18620.9,18656.79,18509.63,-,-0.29%
"Jan 03, 2014",18626.19,18552.4,18636.62,18434.95,-,0.40%
"Jan 02, 2014",18552.4,18591.93,18666.71,18528.4,-,-0.06%
"Dec 30, 2013",18564.08,18334.23,18603.38,18314.73,-,1.25%
"Dec 23, 2013",18334.09,18460.17,18553.07,18334.09,-,-0.68%
"Dec 20, 2013",18459.33,18630.57,18630.57,18365.64,-,-0.92%
"Dec 19, 2013",18630.57,18611.6,18708.79,18498.52,-,0.10%
"Dec 18, 2013",18611.55,18596.35,18694.81,18524.24,-,-0.03%
"Dec 17, 2013",18617.52,18821.39,18858.74,18569.91,-,-0.87%
"Dec 16, 2013",18781.01,18424.79,18881.82,18424.79,-,1.93%
"Dec 13, 2013",18424.72,18281.06,18524.51,18281.06,-,0.78%
"Dec 12, 2013",18281.35,18433.59,18433.59,18255.44,-,-0.83%
"Dec 11, 2013",18433.59,18230.76,18433.59,18154.67,-,1.08%
"Dec 10, 2013",18236.5,18235.44,18371.9,18198.83,-,-0.05%
"Dec 09, 2013",18244.96,18464.41,18570.1,18238.93,-,-1.53%
"Dec 05, 2013",18529.34,18616.15,18742.06,18529.34,-,-0.91%
"Dec 04, 2013",18699.08,18670.06,18782.18,18592.82,-,0.36%
"Dec 03, 2013",18632.25,18869.58,18940.77,18632.25,-,-0.84%
"Dec 02, 2013",18790.7,18788.92,18929.48,18743.74,-,-0.10%
"Nov 29, 2013",18809.76,18557.04,18809.76,18520.23,-,1.42%
"Nov 28, 2013",18546.47,18585.96,18632.31,18419.93,-,0.21%
"Nov 27, 2013",18508.07,18517.76,18630.72,18429.54,-,0.90%
"Nov 26, 2013",18342.1,18592.5,18625.25,18342.1,-,-1.40%
"Nov 25, 2013",18602.17,18556.72,18655.18,18525.32,-,0.20%
"Nov 22, 2013",18565.69,18558.01,18618.66,18519.84,-,-0.15%
"Nov 21, 2013",18594.05,18386.13,18594.05,18327.24,-,0.55%
"Nov 20, 2013",18491.99,18662.18,18662.18,18406.89,-,-1.01%
"Nov 19, 2013",18680.74,18815.89,18815.89,18632.24,-,-0.93%
"Nov 18, 2013",18855.2,18895.39,18934.75,18773.98,-,-0.15%
"Nov 15, 2013",18882.95,18977.12,18994.13,18821.33,-,0.33%
"Nov 14, 2013",18821.21,18636.3,18930.18,18636.3,-,2.02%
"Nov 13, 2013",18448.55,18744.67,18772.36,18448.55,-,-1.49%
"Nov 12, 2013",18727.94,18790.82,18953.29,18720.82,-,-0.11%
"Nov 11, 2013",18749.1,18908.42,18916.61,18657.3,-,-1.05%
"Nov 08, 2013",18948.26,18774.62,18948.26,18717.82,-,0.27%
"Nov 07, 2013",18897.17,19202.96,19221.3,18847.1,-,-1.67%
"Nov 06, 2013",19217.65,19242.59,19305,19105.36,-,0.19%
"Nov 05, 2013",19181.33,19198.16,19386.47,19119.45,-,0.17%
"Nov 04, 2013",19148.65,18915.24,19236.54,18753.17,-,1.71%
"Oct 31, 2013",18827.03,18829.42,18829.42,18641.2,-,0.02%
"Oct 30, 2013",18823.24,18803.11,18913.64,18748.91,-,0.23%
"Oct 29, 2013",18780.68,18765.54,18785.98,18687.01,-,0.34%
"Oct 28, 2013",18717.05,18893.87,18948.39,18711.84,-,-0.70%
"Oct 25, 2013",18849.45,18706.45,18906.69,18706.45,-,0.49%
"Oct 24, 2013",18756.72,18607.26,18756.72,18607.26,-,0.53%
"Oct 22, 2013",18658.1,18730.52,18781.87,18643.78,-,-0.68%
"Oct 21, 2013",18786.57,18557.42,18786.57,18524.77,-,1.29%
"Oct 18, 2013",18547.65,18499.36,18567.87,18482.25,-,0.50%
"Oct 17, 2013",18456.14,18487.98,18552.12,18377.68,-,0.19%
"Oct 16, 2013",18420.61,18680.68,18680.68,18279.83,-,-1.57%
"Oct 15, 2013",18713.54,18583.34,18757.48,18583.34,-,0.88%
"Oct 14, 2013",18550.87,18580.4,18596.05,18479.76,-,-0.47%
"Oct 11, 2013",18638.17,18762.71,18762.71,18600.69,-,-0.22%
"Oct 10, 2013",18679.38,18445.82,18679.38,18440.17,-,1.50%
"Oct 09, 2013",18403.21,18497.08,18497.94,18345.18,-,-0.53%
"Oct 08, 2013",18501.98,18374.11,18523.15,18354.7,-,0.34%
"Oct 07, 2013",18439.3,18470.58,18488.4,18345.44,-,-0.52%
"Oct 04, 2013",18535.36,18572.8,18572.8,18299.77,-,-0.22%
"Oct 03, 2013",18575.8,18635.56,18682.03,18446.91,-,-0.37%
"Oct 02, 2013",18645.35,18768.57,18772.17,18591.73,-,-0.88%
"Oct 01, 2013",18811.61,18643.84,18811.61,18610.96,-,0.79%
"Sep 30, 2013",18663.34,18611.02,18670.96,18565.09,-,0.02%
"Sep 27, 2013",18659.73,18753.8,18807.07,18625.39,-,-0.37%
